node1	node2
ZWINT	PLK1
TCAP	TNNT2
FHL5	KIF17
GATA1	ITGA2B
SFN	CDC25C
SFTPA1	SFTPA2
HKDC1	HK3
VIPR1	RAMP2
MUC5B	MUC20
KIF4A	BUB1B
MELK	DLGAP5
DCC	SLIT3
CXCL12	CX3CL1
PPBP	VWF
KIF20A	CEP55
CDCA3	CDCA8
A2M	KLKB1
PTGES	PTGIS
KIF20A	NCAPG
SCN4B	SCN1A
CEP55	DLGAP5
KIF4A	PLK1
COLEC10	MASP1
NUSAP1	KIF20A
TPX2	MELK
HOXB7	HOXA6
KIF20A	UBE2C
KIF4A	CCNB2
WIF1	WNT3A
CDC20	NCAPG
TTK	CCNB1
MELK	CCNB1
KIF4A	DLGAP5
CD36	FABP4
TOP2A	MELK
NUSAP1	PBK
TOP2A	CEP55
VIPR1	RAMP3
NUSAP1	TTK
GCNT3	B3GNT3
KIF4A	CDC20
CXCL12	PPBP
TPX2	NCAPG
PTGDS	PTGES
NUSAP1	AURKB
CEP55	TTK
FOXM1	MELK
COLEC10	FCN3
TOP2A	KIF2C
CXCL12	CX3CR1
C7	CFP
NUSAP1	RRM2
MYH3	TNNT2
BIRC5	TPX2
CDCA8	TPX2
PTH1R	RAMP2
NUSAP1	BUB1B
NUSAP1	NUF2
PBK	KIF20A
TPX2	CCNB2
NPFF	KISS1R
SPARCL1	SPP1
CDCA3	CCNB2
TOP2A	KIAA0101
PLK1	NCAPG
CSAD	CDO1
RRM2	MELK
TOP2A	CDCA8
CDCA3	PBK
THBD	F10
ITGA8	VTN
HNF4G	HNF1A
KIF20A	NEK2
NEK2	DLGAP5
PTRF	CAV1
CDCA3	TOP2A
GSTM5	GSTM2
PBK	UBE2C
PBK	NCAPG
KIF4A	NCAPH
RRM2	CCNB2
LCN2	CAMP
TTK	PLK1
GATA1	HEY1
RRM2	UBE2C
CDC25C	CDC25A
CP	APOA1
CDC20	TPX2
ECT2	CDC20
HIST1H4E	HIST1H2AE
CEP55	UBE2C
CDCA3	UBE2C
CDCA8	NEK2
MAD2L1	DLGAP5
KIF2C	DLGAP5
ITGA2B	VTN
CEP55	RRM2
MFAP4	FBLN5
GINS2	NCAPG
PBK	CEP55
SFTPA1	SFTPD
NEK2	CCNB1
LRRC4B	PTPRD
CDC20	KIAA0101
TOP2A	NEK2
KIF2C	UBE2C
B3GNT6	GCNT3
KIF20A	TTK
CDKN3	CCNB1
F10	VWF
TOP2A	NCAPH
CEP55	CCNB1
KIF20A	ECT2
NUSAP1	BIRC5
ROBO3	SLIT3
PBK	RRM2
HMMR	LYVE1
PPAP2C	SGPP2
RRM2	CCNB1
CEP55	BUB1B
SYN2	STX1A
MASP2	SERPING1
PTK6	KHDRBS2
CRLF1	CNTFR
CDCA8	NCAPG
PTGDS	PTGIS
MMP1	CMA1
MELK	NCAPG
A2M	VWF
NUSAP1	KIF2C
PBK	TPX2
KDR	FLT4
SFN	CCNB1
KIF2C	TTK
SLIT2	ROBO4
TOP2A	BIRC5
TTK	BIRC5
KIF4A	MELK
CDC20	CEP55
MUC20	GCNT3
B3GNT6	ST6GALNAC1
TPX2	NUF2
BIRC5	DLGAP5
TPX2	BUB1B
PBK	NUF2
CFD	SERPING1
TOP2A	PLK1
DUOX1	DUOXA1
RRM2	DLGAP5
ARHGEF15	RHOJ
KIF4A	BIRC5
KDR	VTN
UBE2C	FOXM1
NFASC	SCN1A
HIST1H2AL	HIST1H2BD
HIST1H4E	HIST1H2AM
KIF20A	RRM2
HIST1H2AL	HIST1H2AC
ESCO2	CDC6
KIF2C	NEK2
CALCRL	VIP
HIST1H4E	HIST1H2AL
KCNB1	KCNAB3
CEP55	PLK1
DEPDC1	DLGAP5
HIST1H2AC	HIST1H2AM
TRPC1	TRPC3
MELK	BUB1B
MUC20	B3GNT3
CDCA8	MELK
DEPDC1	TOP2A
PRTN3	CTSG
KIF20A	FOXM1
NUSAP1	ESCO2
AURKB	ESCO2
KIF2C	CEP55
GNRH1	NPFF
LCN2	TCN1
MAOB	PNMT
P2RX2	P2RX1
DES	TCAP
CDCA8	CEP55
DES	AURKB
ECT2	MELK
ACTN2	DES
ACTN2	TNNC1
FGF2	KAL1
RRM2	AURKB
CEP55	NCAPG
RRM2	NCAPG
HIST1H4H	HIST1H2AE
VIP	ADRB2
ADRA1D	EDN2
UBE2C	KIAA0101
KIF4A	NCAPG
TTK	TPX2
NUSAP1	NEK2
FOXA3	HNF1A
TOP2A	FOXM1
BIRC5	NCAPG
KIF4A	CCNB1
TPX2	NCAPH
CA9	HIF3A
KIF2C	TROAP
B3GNT3	FUT6
MDGA1	NTNG1
FXYD6	ATP1A2
SPARCL1	GPC3
MFAP4	FBLN1
SLIT2	CXCL12
TOP2A	MAD2L1
MAOB	AOC3
FOXM1	AURKB
STX1A	SLC17A7
KIAA0101	CCNB2
CP	PROC
KIF20A	ANLN
SCN7A	SCN4B
CEP55	MELK
ACVRL1	CAV1
CDCA3	KIF20A
CXCL12	S1PR1
VIP	PTH1R
SFTPA2	SFTPD
NGEF	RHOV
PPBP	CX3CL1
NEK2	BIRC5
PDGFB	FIGF
NUSAP1	HJURP
GRIA1	CACNG4
RRM2	TPX2
PBK	CDCA8
MMP1	MMP7
EDN2	ADRA1B
KIF4A	UBE2C
AMN	APOA1
PDGFB	VWF
CDCA7	CDC6
EDN2	GNRH1
CEP55	FOXM1
KIF4A	CDCA8
B3GNT6	MUC20
RHOJ	NGEF
ESCO2	NCAPG
PBK	KIF2C
HIF3A	EPAS1
CYP3A7	CYP1A2
DES	TNNT2
CDCA8	RRM2
ADRA1A	ADRA1B
DLC1	TNS1
MMRN1	VWF
BIRC5	MELK
CDCA3	KIAA0101
TTK	RRM2
KRT80	KRT17
EDNRB	GNRH1
CTHRC1	WNT3A
GPC3	APOA1
B3GNT3	FUT3
FBLN1	VTN
CDCA3	BIRC5
SPP1	GPC3
SCN7A	SCN2B
RRM2	BIRC5
FOXM1	BUB1B
ANGPT1	KDR
KRT4	KRT17
UBE2C	MELK
PLK1	CDC6
HIST1H4H	HIST1H2AM
TOP2A	TROAP
CCL16	CXCL12
HMMR	NCAPG
MMP1	CTSG
NFASC	SCN4B
MELK	MAD2L1
HTR3A	HTR3C
PBK	HMMR
VWF	PROC
RRM2	MAD2L1
FCN1	COLEC10
KIAA0101	BUB1B
FXYD1	ATP1A2
RRM2	KIAA0101
NUSAP1	MELK
HIST1H2AL	HIST1H4H
PRELP	OGN
COL11A1	COL10A1
PDGFB	KDR
CDC20	NCAPH
FOXM1	TPX2
MYH3	TCAP
SERPING1	VWF
UBE2C	CENPA
MASP2	MASP1
E2F8	RRM2
CCL16	PPBP
CACNB4	CACNG4
DEPDC1	BUB1B
TNNT3	TMOD1
ECT2	ANLN
KIF20A	KIAA0101
KIF2C	RRM2
PTH1R	RAMP3
HNF4A	HNF1A
E2F8	BUB1B
CDCA8	FOXM1
APOA1	PROC
NUSAP1	CCNB1
KIAA0101	DLGAP5
TCAP	TNNT3
NUSAP1	KIAA0101
FLT4	LYVE1
CAV1	WNT3A
KIF26B	KIF20A
HJURP	DLGAP5
PDGFB	A2M
COX6B2	COX4I2
TOP2A	NEIL3
CENPA	HIST1H2BD
FIGF	VWF
PBK	KIF4A
A2M	MMP1
E2F8	CDCA8
RRM2	NME1
KIF4A	NEK2
P2RX6	P2RX2
NUSAP1	KIF4A
BCO1	ALDH1A2
KIF2C	FOXM1
MYH3	TNNC1
SPP1	APOA1
CYR61	SPP1
FXYD6	ATP1B2
FBLN5	VTN
FXYD1	ATP1B1
RAMP2	RAMP3
GTSE1	KIF2C
ANLN	DLGAP5
ADRA1A	ADRA1D
CDC20	TROAP
TMOD1	TNNT2
HJURP	KIF20A
NOS1	OTC
AURKB	KIAA0101
CDCA3	KIF2C
MCEMP1	P2RX1
SELP	VWF
TTK	MELK
TCAP	TNNC1
SYNE1	SYNE3
KIF20A	MELK
CDCA3	DLGAP5
ADRA1A	EDN2
VIP	PTGIR
CCL16	CX3CL1
STARD13	RHOV
PLK1	HIST1H2BD
GPIHBP1	APOA1
NFASC	SCN2B
CX3CR1	S1PR5
CAMP	PPBP
CACNA2D2	CACNG4
HMMR	CEP55
CDKN3	MAD2L1
ITGAL	CD93
STARD13	RHOJ
STON1	SH3GL2
ARHGAP6	RHOV
CENPA	HIST1H2AE
PTH1R	ADRB2
CDCA8	KIAA0101
HJURP	NEK2
E2F8	DLGAP5
ARHGAP6	RHOJ
CENPA	NCAPG
CD36	APOA1
RRM2	CDC6
E2F8	TOP2A
ADCY4	PTGDR
SLIT2	ROBO3
SPP1	PDGFB
NUSAP1	DEPDC1
KIF26A	KIF20A
PPBP	SERPING1
NUSAP1	CDCA3
SHC3	NTRK3
SFN	CCNB2
SPP1	GOLM1
LYPD6B	LYPD1
CXCL12	ADRB2
AOC3	ALDH3B2
ACTN2	VWF
CALCRL	ADRB2
A2M	PPBP
NOS1	RYR2
GAD1	STX1A
NEK2	AURKB
SPP1	CP
CX3CR1	PPBP
BUB1B	CDC6
MYH3	TMOD1
COL4A6	COL11A1
FBLN5	FBLN1
KIF20A	NUF2
ADCY4	ADRB2
ARHGEF15	RHOV
BUB1B	NCAPG
VIP	RAMP2
AURKB	TROAP
RAD51	PLK1
CDCA3	AURKB
CX3CR1	S1PR1
MUC5B	GCNT3
TCAP	TMOD1
ECT2	RHOV
RXFP1	CALCRL
CALCRL	ADCY4
AVPR2	PTGIR
DES	TNNC1
ITGA8	ITGA11
CDCA8	TROAP
KRT6A	KRT27
COL11A1	COL21A1
SKA3	PLK1
MAOB	ALDH3B2
KRT80	KRT27
FUT2	B3GNT3
CXCL12	S1PR5
EDNRB	ADRA1B
ITGA8	ITGA10
UHRF1	HIST1H2BD
KIF2C	NCAPG
RHOJ	DLC1
UBE2C	HECW2
HJURP	TOP2A
CCL16	CX3CR1
DSP	TGM1
CDC25C	AURKB
NUSAP1	HMMR
NEK2	RRM2
DLC1	RHOV
CDCA3	BUB1B
CYP3A7	CYP26B1
EPAS1	SALL4
EDN2	PTGFR
KIF26A	KIF4A
B3GNT6	MUC5B
GTSE1	CDC20
ESCO2	MAD2L1
CLDN14	CLDN11
P2RX6	P2RX1
UHRF1	TOP2A
ECT2	RHOJ
MUC5B	GALNT16
HJURP	UBE2C
GPIHBP1	LYPD6B
UHRF1	CDC20
APLN	NPW
MAOB	INMT
CYP1A2	CYP26B1
SPARCL1	CYR61
FGF10	FGF2
MUC5B	ST6GALNAC3
VIP	RAMP3
RXFP1	PTGIR
DEPDC1	CEP55
GRIA1	TSPAN7
GATA1	GATA2
ACTN2	TMOD1
ADRA1D	EDNRB
MMP1	KLKB1
MUC5B	B3GNT3
PDGFB	PPBP
DEPDC1	KIF20A
KRT4	KRT27
FGF2	KLB
ADRA1A	EDNRB
CDC20	ESCO2
VIPR1	ADCY4
COL4A3	COL11A1
TPX2	MAD2L1
AVPR2	ADCY4
PBK	CDKN3
CDKN3	DLGAP5
APOA1	RBP2
CAMP	CFP
CDCA3	KIF4A
CDC20	CDC25C
CEP55	NEK2
HIST1H4E	HIST1H2AC
HJURP	AURKB
MMRN1	PPBP
HIST1H2BD	CCNB1
ADRB2	PTGIR
ADRB2	PTGDR
F10	PROC
ITGAL	P2RX1
NFASC	GLDN
CDKN3	MELK
UBE2C	ZBTB16
PDGFB	S1PR1
CDKN3	CCNB2
VIP	ADCY4
HJURP	FOXM1
CLDN5	CLDN11
COL4A6	COL10A1
NUSAP1	FOXM1
CPEB1	PLK1
COL13A1	COL4A6
HIST1H2AC	HIST1H4H
LSAMP	NTNG1
TOP2A	NUF2
COL11A1	TLL1
CFD	PDGFB
NUSAP1	ECT2
LGI3	STX1B
AVPR2	PTH1R
PTGIR	RAMP3
ADRA1D	PTGFR
COL4A3	COL21A1
SPARCL1	CHRDL1
TMOD1	TNNC1
TOP2A	HMMR
HIST1H2AC	CCNB1
CDCA3	TTK
PKP3	TGM1
MUC5B	GALNT4
HK3	SORD
TOP2A	ECT2
CDH5	CDH3
HJURP	KIF2C
MCM10	GINS1
RXFP1	RAMP3
HKDC1	SORD
C7	VTN
UHRF1	CDCA7
CYP3A7	ALDH1A2
SYN2	LIN7A
HJURP	HIST1H2AC
CLDN2	CLDN11
MUC5B	GALNT13
HJURP	CCNB2
GALNT4	MUC20
ARAP3	RHOV
ADAMTSL3	THSD1
ADRA1D	CHRM1
KRT4	KRT6A
WNT7A	SFRP1
GPR17	CXCL12
ADM2	VIPR1
MUC20	GALNT16
RGS11	RGS9BP
COL4A3	PDGFB
MUC20	GALNT13
RXFP1	AVPR2
COL4A3	COL4A6
ADM2	PTH1R
SPP1	ITGA8
LIN7A	STX1A
ADRA1B	CHRM1
SLIT3	ROBO4
AVPR2	ADRB2
ADRA1B	GNRH1
COL4A3	COL10A1
CEP55	ANLN
HJURP	HIST1H2BD
CXCL12	ADRA1B
AURKB	CDC6
MCEMP1	CD93
STON1	SH3GL3
GPR17	S1PR1
GOLM1	CP
RYR2	CASQ2
CD36	CD93
COL11A1	COL17A1
MUC20	ST6GALNAC3
MMP7	MMP11
SH3GL2	ADRB2
COL17A1	COL21A1
CFD	VWF
HJURP	CDC20
CLDN5	CDH5
WASF3	KDR
COL11A1	COL6A6
CDC20	GINS2
LGI3	STX1A
DES	TNNT3
MMP12	A2M
NCAPG	CDC6
KIF4A	CEP55
ADAMTS15	ADAMTSL3
CDC20	HECW2
CEP55	CCNB2
RHOJ	ARAP3
EDNRB	PTGFR
VIP	AVPR2
GAD1	CDO1
ADRA1A	PTGFR
COL4A3	COL17A1
GPC3	HPSE2
MUC20	GALNT7
MELK	NUF2
SKA3	CCNB1
HIST1H2AC	PLK1
COL13A1	COL11A1
HJURP	TROAP
ATP1B1	ATP1B2
CHRM1	ADRB2
CDC20	ZBTB16
PTGFR	NMUR1
ADRA1D	GNRH1
COL10A1	COL21A1
KIF14	DLGAP5
MMP1	MMP11
RXFP1	VIP
CD93	P2RX1
CFD	A2M
UHRF1	HIST1H2AC
PBK	NEK2
KIF26B	KIF4A
FXYD1	ATP1B2
CHRM1	GNRH1
PTH1R	ADCY4
DEPDC1	TTK
MMRN1	A2M
CLEC3B	TIMP3
APLN	CXCL12
NPW	NMUR1
COL13A1	COL10A1
COL4A6	COL21A1
COL13A1	COL4A3
ECT2	NCAPG
RS1	ATP1B2
HJURP	TTK
FXYD6	ATP1B1
ITGAL	MCEMP1
MUC5B	GALNT7
KCNMB3	PRKG2
ADRA1A	GNRH1
KIF4A	ANLN
ADRA1A	CHRM1
KIF20A	CENPA
PTGDR	RAMP3
DOCK4	PDGFB
CLDN2	CLDN5
PTK6	HBEGF
RSPO3	RSPO2
ADRA1D	ADRA1B
CEP55	NUF2
PDGFB	FLT4
EDN2	NMUR1
RAB40A	RAB25
EDN2	KISS1R
CXCL12	NMUR1
COL13A1	COL21A1
BIRC5	KIAA0101
STX1A	STX1B
KIF26A	KIF2C
KIF2C	MELK
DOCK4	RPL22L1
RXFP1	PTGDR
CALCRL	VIPR1
RSPO1	RSPO4
HJURP	BUB1B
F10	GP9
PPBP	CFP
FOXM1	BIRC5
A2M	MMP7
CYR61	GPC3
GPBAR1	ADRB2
EXO1	CDC6
KIAA0101	CCNB1
RSPO1	RSPO2
GPBAR1	VIPR1
PTK6	SRMS
PTK6	EPAS1
COL6A6	COL10A1
ACTN2	GRIA1
CFD	PPBP
ARHGAP20	RHOV
ADAMTSL4	CFP
RAPGEF4	RYR2
ADAMTSL4	ADAMTSL3
GAD1	ALDH3B2
RHOJ	DEPDC1B
ADM2	ADRB2
ADAMTSL4	ADAMTS15
STARD8	RHOJ
MCM10	EXO1
ADRA1B	ADRB2
ECT2	CCNB2
PTGFR	ADRA1B
ADAMTS15	ADAMTS8
ADCY4	S1PR1
ADRB2	RAMP3
CDCA3	CCNB1
UBE2C	KLHL41
FIGF	PPBP
ITGA8	ITGAL
NMUR1	NPFF
COL6A6	COL17A1
CD36	SLC2A5
ADCY4	PTGIR
TOP2A	CENPA
COL13A1	COL17A1
CD36	P2RX1
HSPB3	HSPB2
GPR17	ADRA1B
RSPO3	RSPO4
GATA1	HIST1H2BD
DES	TMOD1
S1PR1	CX3CL1
CD36	ITGAL
GPR17	CHRM1
KIF26A	KIF26B
RXFP1	ADCY4
TPX2	ANLN
CALCRL	PTH1R
CDC20	CDKN3
RSPO3	RSPO1
KRT80	KRT6A
COL4A6	COL17A1
WNT7A	WNT3A
KRT4	KRT80
KIF20A	TROAP
HPDL	HGD
GP9	PROC
COL4A6	COL6A6
RHOJ	ARHGAP20
MMRN1	SERPING1
GP9	KLKB1
HJURP	MELK
CDC25A	CDC6
KIF26B	KIF2C
ECT2	AURKB
GPIHBP1	MDGA1
CLDN5	CLDN14
MASP2	FCN3
SLIT2	SLIT3
PTPRB	CD93
CEP55	AURKB
ADM2	VIP
CAMP	TCN1
RXFP1	ADRB2
ITGAL	PTPRB
PBK	CDCA2
GPC3	CHRDL1
S1PR5	NMUR1
PTGDR	PTGIR
EDNRB	F2RL1
RRM2	PLK1
ADAMTSL4	THSD1
CENPA	TPX2
RHOJ	RHOV
XDH	CYP1A2
RAD51	HIST1H2BD
HJURP	BIRC5
CALCRL	AVPR2
ADAMTSL4	SBSPON
AVPR2	VIPR1
GPBAR1	VIP
ADCY4	RAMP3
CDKN3	NCAPG
ENTPD8	RRM2
RSPO2	RSPO4
CXCL12	ADCY4
CLDN2	CLDN14
GPBAR1	AVPR2
ADRB2	RAMP2
GPC3	WNT3A
NRN1	MDGA1
A2M	RHOJ
PTGFR	GNRH1
NRN1	LSAMP
S1PR5	S1PR1
HJURP	CDCA8
CYP1A2	ALDH1A2
APLN	CX3CL1
NRN1	GPIHBP1
AMBP	APOA1
WNT2B	WNT3A
GPR17	ADCY4
ITGA10	ITGA11
CD36	MCEMP1
MMRN1	CFD
PITX1	TBX4
MYH3	DES
FCN1	FCN3
A2M	FIGF
LSAMP	LYPD1
LYPD6B	NTNG1
HJURP	HIST1H4H
GPC3	PROC
TNNT3	TNNT2
GPR17	ADRA1D
ADAMTSL3	CFP
ADAMTSL4	ADAMTS8
ACTN2	TNS1
EDNRB	CHRM1
GFRA2	DOK6
SPP1	PROC
GPR17	APLN
GFRA2	SHC3
ADM2	PTGDR
ADCY4	RAMP2
MMRN1	FIGF
TTK	UBE2C
HIST1H4E	HJURP
ACTN2	A2M
S1PR5	CX3CL1
GPR17	EDNRB
PPBP	TCN1
GPR17	F2RL1
PBK	ANLN
COL6A6	COL21A1
RXFP1	PTH1R
HIST1H2BD	FOSB
CALCRL	PTGIR
CHRM1	F2RL1
EDNRB	NPFF
LSAMP	MDGA1
GPSM1	APLN
VIPR1	PTH1R
APLN	NMUR1
GPBAR1	ADCY4
ADCY4	NMUR1
STARD8	RHOV
RECK	NTNG1
AVPR2	RAMP2
CHRM1	NMUR1
GPR17	CX3CL1
WIF1	WNT7A
SPSB4	KLHL41
CDC20	SPSB4
CACNA2D2	STX1A
PTGFR	F2RL1
MAD2L1	GINS2
EDN2	NPFF
TTK	KIAA0101
WNT2B	WNT7A
ADAMTSL3	ADAMTS8
GPR17	NMUR1
CDCA2	NUF2
APLN	S1PR1
ZBTB16	HECW2
PBK	AURKB
SEMA5A	CFP
DSG2	TGM1
RNF182	UBE2C
ADCY4	PRKCE
SPARCL1	APOA1
NMUR1	KISS1R
SLC2A5	P2RX1
ACTN2	MMRN1
PECAM1	VWF
SPARCL1	CP
TEK	FGF2
MFAP4	SFTPD
SBSPON	ADAMTSL3
GPC3	CP
RGS11	RGS9
CDCA3	MAD2L1
ADRA1A	NMUR1
GPBAR1	PTGDR
CHRM1	KISS1R
ITGAL	ITGA11
NRN1	NTNG1
GPR17	S1PR5
NMUR1	GNRH1
RNF182	ZBTB16
ADH1B	BCO1
CHRM1	NPFF
CYR61	GOLM1
SH3GL3	ADRB2
CEP55	BIRC5
GOLM1	APOA1
CD36	PTPRB
ITGA10	ITGAL
GPIHBP1	LSAMP
CDC20	FAM64A
ECT2	CDCA8
WNT2B	SFRP1
A2M	MMP11
LCN2	CFP
ACTN2	SERPING1
GPR17	CX3CR1
GPR17	KISS1R
CCL16	S1PR1
NRN1	LYPD1
ADAMTS15	THSD1
VIPR1	ADRB2
LYPD1	NTNG1
EDNRB	NMUR1
A2M	RHOV
AVPR2	PTGDR
SLC2A5	ITGAL
RNF182	CDC20
CX3CR1	PCP2
CDCA3	TPX2
SLC2A5	CD93
VIPR1	PTGDR
COL4A3	COL6A6
TPD52	SH3GL2
SYNE1	HIST1H2BD
GPR17	GPSM1
COL17A1	COL10A1
GPIHBP1	NTNG1
THSD1	CFP
RXFP1	ADM2
KRT17	KRT27
CDH5	PTPRB
