gene	logFC
FBLN1	-2.375466756
ACADL	-2.372876163
DENND3	-2.370775644
TTLL3	-2.370236893
DOK6	-2.36973428
KIAA1324L	-2.369633655
NKD2	-2.369622028
OR52N4	-2.369480475
TMOD1	-2.36820087
PTPRD	-2.36718589
TNNT2	-2.357802654
CYR61	-2.354358959
NRGN	-2.353062079
PDE5A	-2.352036887
SLC6A16	-2.348817467
KAL1	-2.348518936
CX3CR1	-2.34795331
DPY19L2P2	-2.347003148
KIR2DL1	-2.342402061
GFRA2	-2.336197506
SLC16A12	-2.336056514
WNT7A	-2.33528856
CCDC141	-2.334824517
LOC338758	-2.334802347
RBM44	-2.323659569
FEZ1	-2.323656145
P2RX1	-2.321808621
MCC	-2.320819754
SPSB4	-2.320172081
DUSP1	-2.320032705
MAPK15	-2.318657181
PTGIS	-2.318644143
APOA1	-2.317229788
SLFNL1	-2.316613936
SRPX	-2.315578521
GAS1	-2.314432023
ADRA1B	-2.31174743
OLFML1	-2.310598519
GBP4	-2.306126541
FGF2	-2.306040095
STARD8	-2.306010588
TENC1	-2.305684737
OLFML2A	-2.30470748
GIMAP7	-2.30185451
LOC100270804	-2.300687095
ZMAT1	-2.299428301
CXorf65	-2.295301124
GIMAP6	-2.294683167
C2CD4C	-2.292162733
GIMAP5	-2.291930416
CXorf57	-2.290237052
LHX6	-2.28868583
SLC17A7	-2.284888672
ECM2	-2.282479168
MYOZ1	-2.277503351
C10orf105	-2.273413311
MEFV	-2.27316492
SEMA6D	-2.272247561
CG030	-2.271890119
MGC16703	-2.270810843
FCRL6	-2.27067594
ARHGAP6	-2.268718024
A2M	-2.263434334
COL21A1	-2.262918675
ACCN3	-2.261691201
FCN1	-2.261415574
ALS2CL	-2.261211644
SHC3	-2.257822454
PRKCE	-2.257355917
LRRN4	-2.257311011
APOL3	-2.255597164
STON1	-2.254651251
SIGLEC6	-2.253668459
EGFL7	-2.251522437
SOX18	-2.249528567
PRELP	-2.24767958
LTC4S	-2.245855803
PECAM1	-2.244928629
RIC3	-2.242584923
PCDHGB7	-2.240755664
LOC642924	-2.240059596
TPPP	-2.238341089
FAM180A	-2.23713682
GPBAR1	-2.235894683
HK3	-2.235603947
ERG	-2.235245402
RASL12	-2.234838132
GNLY	-2.234727413
AGBL1	-2.234160483
PLA2G4F	-2.232302247
MYCT1	-2.232150298
SAP25	-2.231367718
LRRC32	-2.229038729
LOC151174	-2.22867376
SFTPD	-2.226763318
ALPP	-2.225168493
BVES	-2.225106372
ADAMTSL4	-2.224097015
ST6GALNAC3	-2.222890386
ABCA3	-2.222749582
ZNF366	-2.222232621
CACNB4	-2.217443694
CLDN11	-2.216005227
KRT27	-2.215735446
4-Sep	-2.212372602
CPEB1	-2.2109604
HEY1	-2.207770407
AHSA2	-2.207754155
NTRK3	-2.206019194
KCNMB2	-2.205136567
SYNPO2	-2.202858727
RBMS3	-2.201363678
ESAM	-2.198854774
GPSM1	-2.197519703
ST6GALNAC5	-2.194319892
LHFP	-2.193424506
SH2D1B	-2.192817573
PTPN21	-2.188131548
PRTG	-2.187534809
C6orf81	-2.187429642
TNFRSF8	-2.187371388
SEMA3D	-2.185909146
LIMCH1	-2.18518145
SPDYE5	-2.185127034
F10	-2.182435282
LRCH2	-2.182334007
LOC283481	-2.179990391
CD300E	-2.179747801
CSAD	-2.17802909
HSPB2	-2.176752577
LOC646576	-2.175109314
ATP1B2	-2.175096808
KIAA1683	-2.171285171
PATL2	-2.17022218
GPM6B	-2.168257666
FRMD3	-2.16823434
DPYS	-2.168231296
CLEC14A	-2.16801036
ADAMTS15	-2.167678632
OSBPL6	-2.165682664
DSCAML1	-2.165035572
SOX17	-2.161473147
PDZD2	-2.159884378
SEC31B	-2.158731274
FAM124A	-2.157174629
RSPO3	-2.153734281
RTN1	-2.147779802
CGNL1	-2.146978606
SPN	-2.14623968
SH3BP5	-2.145862194
TOX2	-2.144934205
AQP1	-2.144389351
FAM162B	-2.14359733
LRRC4B	-2.143304226
KIAA1614	-2.14259755
GBA3	-2.140874194
FBLN5	-2.138253999
CFD	-2.138057919
SCARA5	-2.13661628
HECW2	-2.134993033
GFI1B	-2.133240088
C6orf123	-2.131819951
RHOJ	-2.130226172
S100A3	-2.130132262
C1orf150	-2.129883271
RPL23AP64	-2.129734565
ARAP3	-2.128704172
PDLIM2	-2.126116306
CRYGS	-2.124127499
LRP2BP	-2.121890096
MYOZ3	-2.12171369
VEPH1	-2.120186359
MEIS1	-2.117696674
SELP	-2.11742719
GRAMD2	-2.115958072
RGS13	-2.114604708
TRPC1	-2.110701105
SERPING1	-2.10966236
C10orf72	-2.109389928
LSAMP	-2.109007349
LOC728643	-2.108549965
RYR2	-2.108324917
LMO2	-2.108293956
PRSS35	-2.104472852
FLJ41350	-2.102929133
SLC39A8	-2.102733676
NR4A2	-2.10251523
PRTN3	-2.101250344
LOC643733	-2.100425464
LMCD1	-2.098197226
FAT4	-2.096857582
HBEGF	-2.089819757
TSSK3	-2.08885693
GPRASP1	-2.088657252
STX1B	-2.086693095
KIAA1274	-2.085925572
NXF3	-2.08543338
CES1	-2.084649357
TRPC2	-2.083849682
CYP4F22	-2.083549999
GPR146	-2.078454304
EPB41L2	-2.076873216
HSPB3	-2.075585559
KDR	-2.074925671
PKIA	-2.074679533
RAI2	-2.074638948
MPP3	-2.074234469
CACNA2D2	-2.07389293
CCRL1	-2.073832854
CYYR1	-2.072664279
PCP2	-2.071642161
CXCL12	-2.070724478
FADS3	-2.07070337
STARD13	-2.069704621
FAM189A1	-2.067956243
SLC9A5	-2.067657235
NAV3	-2.067628062
KCNAB3	-2.064793943
WWC2	-2.063517698
PTGIR	-2.062960163
MYH3	-2.06246121
FRAS1	-2.060261904
CASKIN2	-2.059333795
FAM13AOS	-2.058505434
PLIN4	-2.056432959
C1orf186	-2.056371683
AFAP1L1	-2.055220004
LAMP3	-2.054718493
TRIM78P	-2.0544337
NKAPL	-2.053513703
NRBP2	-2.053034622
JPH4	-2.051169053
CDH23	-2.051138376
PCDH10	-2.049773966
BCL6B	-2.045489941
WHAMML2	-2.045489421
ELMOD1	-2.044180269
BET3L	-2.041442403
C22orf23	-2.041139847
LOC729970	-2.040910422
IL18RAP	-2.040643297
ITIH5	-2.038241361
KIR3DL2	-2.036853466
OTC	-2.036687032
BACH2	-2.035672844
LOC100507057	-2.035419771
ZAP70	-2.031159121
GSTM2	-2.029325289
TCF15	-2.027908771
VENTX	-2.026151019
PCDH12	-2.025209115
FAM70A	-2.02493952
LOC255480	-2.024784756
PDE4C	-2.024382493
TLL1	-2.017401292
C8orf46	-2.017190867
HSPA7	-2.014858296
PTN	-2.01372578
CSRNP1	-2.012185048
KANK2	-2.011727955
FXYD6	-2.010607663
PTPRM	-2.010528827
CBFA2T3	-2.010257652
SMTNL2	-2.009376466
RAPGEF4	-2.008119764
LOC100131564	-2.007453897
PDGFB	-2.004552782
ITGAL	-2.00269454
GJA5	-2.000932501
LOC541473	-2.000666868
RAD51	2.011549516
ZNF643	2.012414523
CYP27B1	2.018023765
RALGPS2	2.026218302
FAAH2	2.026270253
GPR56	2.028081895
NUSAP1	2.038989677
CDC25A	2.043676831
C19orf21	2.044914437
KRTCAP3	2.048818498
PKP3	2.052447707
WNK2	2.057023674
SEZ6L2	2.058371906
XKR9	2.059090305
FAM81A	2.059428306
IL1RL2	2.068016007
MANEAL	2.073190167
C9orf152	2.074048655
UAP1	2.081315491
SLC7A5	2.083947492
SORD	2.09133745
TLCD1	2.098158603
TGFA	2.104648585
TNFRSF9	2.112956064
C1orf182	2.113933625
NME1	2.114725888
GTSE1	2.117724292
GINS1	2.118090868
TPD52	2.119792625
FNDC4	2.11979383
RAB25	2.123405868
ERO1L	2.127230324
SLC6A14	2.129471081
MAD2L1	2.134732778
MUC20	2.152714107
FOXM1	2.157323778
EFNA4	2.160804424
EPCAM	2.165074608
SLC25A10	2.170641477
CKAP2L	2.171238255
NCAPG	2.174374062
RHPN2	2.181170907
PRDX4	2.188320965
TROAP	2.192467941
FBXO16	2.199764597
PLEKHA6	2.199811663
GPR160	2.200543094
SFN	2.203309317
CDCA2	2.204512066
ELF3	2.210372929
FAM111B	2.218966067
TTK	2.222383513
DSG2	2.231622175
FAM151A	2.237906968
NCAPH	2.238301923
KIF14	2.243085082
TSTA3	2.248069676
HIST1H2AC	2.248168913
SALL4	2.248467404
PTER	2.257247395
SEMA4B	2.263058538
ZWINT	2.263765409
MARVELD3	2.278591599
MARCKSL1	2.278668932
LOC439990	2.279954686
PLK1	2.281095105
CDCA8	2.295607947
ECE2	2.296564165
KIF2C	2.302041017
LYPD1	2.308991755
C20orf151	2.309715067
C2CD4D	2.312487074
PTK6	2.321764606
ANLN	2.329722074
TPX2	2.350780913
KIF20A	2.35511633
MCM10	2.368725849
CCNB1	2.369867905
MTL5	2.38487575
CREB3L1	2.387875233
SKA3	2.38884973
TNFRSF21	2.403019511
GINS2	2.403565571
BUB1B	2.405267064
STX1A	2.40681247
LSR	2.418164314
RPL22L1	2.420344115
KIAA1324	2.432220866
UHRF1	2.437087817
KRT80	2.439547369
ATP1B1	2.442243028
KIF4A	2.446933531
PLS1	2.451374935
PAFAH1B3	2.453422908
SIX4	2.46043069
DEPDC1B	2.461576684
ARSE	2.470360601
HMMR	2.483233701
CDC6	2.503045653
AURKB	2.504959347
SLC2A5	2.522867169
REEP6	2.525650738
HIST1H4E	2.544082394
HOXB7	2.547702643
SUSD4	2.553389942
C16orf59	2.557635945
NEIL3	2.567244904
ECT2	2.576804185
KCNN4	2.589365443
HKDC1	2.591695725
RRM2	2.597336248
MDK	2.600657529
C7orf10	2.603761471
SMPDL3B	2.614035945
TMEM92	2.623073469
HIST1H4H	2.634938373
CEP55	2.649091054
TOP2A	2.664607084
MMP7	2.66843499
EDN2	2.675542606
SERINC2	2.676231422
NIPAL1	2.681214541
GALNT7	2.685011634
STYK1	2.685651882
CDH3	2.708519034
TMEM45B	2.710346673
HJURP	2.718515965
MELK	2.745736464
CENPA	2.753962111
BIRC5	2.760275462
GALNT4	2.760914054
EPR1	2.769821646
EXO1	2.784079883
CCNB2	2.784777269
KIAA0101	2.793060819
BIK	2.79976882
DSP	2.804416207
IYD	2.813317574
PVRL4	2.822777455
F2RL1	2.824392342
CDCA5	2.828547081
PODXL2	2.837536242
OCIAD2	2.850153957
MEX3A	2.897793383
PPAP2C	2.914958555
BACE2	2.918368674
CDC20	2.920467098
NGEF	2.932161049
ESCO2	2.932682052
CNFN	2.943191077
UBE2C	2.944622095
DLGAP5	2.952556685
ANO7	2.962033219
ANKRD22	2.973534768
XDH	2.981811774
CREB3L4	2.987501154
WFDC2	2.988076422
C11orf53	3.002794324
GMDS	3.02118647
HIST1H2AE	3.028219175
CDC25C	3.038321924
ITGA11	3.048186583
FGF11	3.04853495
LOC440335	3.049676006
MYBL2	3.058870293
CST2	3.066433216
CDCA3	3.073438531
MND1	3.091138713
KCNK1	3.099356131
C1orf106	3.110907471
S100A2	3.133103464
PHLDA2	3.143881414
FAM64A	3.148542282
NUF2	3.151153338
CILP2	3.163190998
CDKN3	3.197405615
WFDC3	3.202539309
PROM2	3.206341525
LOC100129046	3.224659313
FRMD5	3.242415205
UBE2T	3.246509257
C8orf47	3.247061387
GPT2	3.254109455
GYG2	3.258826755
HMGB3	3.304839769
DEPDC1	3.309064416
SGPP2	3.323837866
CAPN5	3.358800028
PBK	3.360515019
BCMO1	3.38201068
LAD1	3.389022273
OTX1	3.401679669
NEK2	3.462726506
SLC2A1	3.488507181
CP	3.512052809
C9orf140	3.512508212
ACY3	3.529967234
CDCA7	3.553068235
PYCR1	3.559567752
METTL7B	3.566040425
AMN	3.572751849
KIF26B	3.583695357
HIST1H2BD	3.584683454
HIST1H1D	3.593881288
LOC100506385	3.60894429
UNC5CL	3.609364414
SLC7A11	3.630350109
OVOL1	3.630773665
FAM150A	3.630853782
SIX2	3.633182163
HNF1A	3.675963668
GAD1	3.680810545
COX6B2	3.68196688
FUT3	3.718047225
C4BPB	3.726103581
AGMAT	3.753250111
PTGES	3.755313798
CRABP2	3.75558739
PLEK2	3.832765186
FAM155B	3.845799493
FA2H	3.860015211
EPN3	3.860056754
LCN2	3.885982925
SOX11	3.890197779
ARL9	3.923758457
CXCL14	3.925565421
NQO1	3.925809588
KPNA7	3.938284945
ETV4	3.974657102
PAX9	4.003556519
E2F8	4.012131752
ALDH3B2	4.015441004
CTHRC1	4.019699316
AMBP	4.024887346
LOC100292680	4.026579788
MIOX	4.027129664
IGSF9	4.029711664
GOLM1	4.048979674
PROC	4.08124994
TOX3	4.111222712
LOC100499467	4.142163488
SLC22A18AS	4.151287934
ALG1L	4.161232427
TSPAN8	4.184870985
FERMT1	4.196329049
CLDN2	4.200320573
CBLC	4.222687904
TESC	4.234797161
ITPKA	4.245215337
RHBDL2	4.245312961
HNF4G	4.250973053
VTCN1	4.256456475
ADM2	4.283443418
STRA6	4.294110299
HGD	4.364596487
GCKR	4.402264053
RNF183	4.431098751
SRMS	4.459653782
CLDN14	4.473332662
EPHA10	4.47431223
RASAL1	4.479054128
RHOV	4.479572265
HPDL	4.504434479
ST6GALNAC1	4.513286966
MNX1	4.533003624
GJB2	4.54837478
AGR2	4.557806134
LOC145837	4.598872681
TNS4	4.640157067
CNTD2	4.641163035
ZG16B	4.795425452
MEP1A	4.865622117
LYPD6B	4.881372241
