ONTOLOGY	ID	Term	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
CC	GO:0045121	membrane raft	21/163	315/19717	1.81311664017309e-13	3.15340889482025e-11	2.20276752028326e-11	PTGS2/ADRA1A/ADRA1B/SLC6A4/OPRM1/CASP3/CASP8/SLC6A3/DPP4/EGFR/MAPK1/HMOX1/CAV1/GJA1/ICAM1/SELE/NOS3/SLC2A4/CTSD/OPRD1/IKBKB	21
CC	GO:0098857	membrane microdomain	21/163	316/19717	1.92869045554755e-13	3.15340889482025e-11	2.20276752028326e-11	PTGS2/ADRA1A/ADRA1B/SLC6A4/OPRM1/CASP3/CASP8/SLC6A3/DPP4/EGFR/MAPK1/HMOX1/CAV1/GJA1/ICAM1/SELE/NOS3/SLC2A4/CTSD/OPRD1/IKBKB	21
CC	GO:0098589	membrane region	21/163	328/19717	3.97985873745076e-13	4.33804602382133e-11	3.03027840711163e-11	PTGS2/ADRA1A/ADRA1B/SLC6A4/OPRM1/CASP3/CASP8/SLC6A3/DPP4/EGFR/MAPK1/HMOX1/CAV1/GJA1/ICAM1/SELE/NOS3/SLC2A4/CTSD/OPRD1/IKBKB	21
CC	GO:0099056	integral component of presynaptic membrane	10/163	73/19717	4.4851060198081e-10	2.09518524068178e-08	1.46356091172685e-08	DRD1/CHRM3/CHRM1/ADRA1A/CHRM2/SLC6A4/OPRM1/SLC6A3/HTR3A/OPRD1	10
CC	GO:0090575	RNA polymerase II transcription factor complex	13/163	163/19717	1.00518364994313e-09	4.10868816914256e-08	2.87006384260079e-08	JUN/RXRA/PPARG/FOS/RB1/TP53/HIF1A/NR1I2/NR1I3/PPARA/PPARD/E2F1/E2F2	13
CC	GO:0098889	intrinsic component of presynaptic membrane	10/163	82/19717	1.44898833016726e-09	5.26465759960769e-08	3.67754932919643e-08	DRD1/CHRM3/CHRM1/ADRA1A/CHRM2/SLC6A4/OPRM1/SLC6A3/HTR3A/OPRD1	10
CC	GO:0099699	integral component of synaptic membrane	12/163	152/19717	5.08227019700573e-09	1.66190235442087e-07	1.16089750815815e-07	DRD1/CHRM3/CHRM1/ADRA1A/CHRM2/SLC6A4/OPRM1/GABRA1/SLC6A3/HTR3A/ADRA2C/OPRD1	12
CC	GO:0099240	intrinsic component of synaptic membrane	12/163	164/19717	1.20106415365455e-08	3.50514545965721e-07	2.44846793737523e-07	DRD1/CHRM3/CHRM1/ADRA1A/CHRM2/SLC6A4/OPRM1/GABRA1/SLC6A3/HTR3A/ADRA2C/OPRD1	12
CC	GO:0044798	nuclear transcription factor complex	13/163	201/19717	1.28629191180081e-08	3.50514545965721e-07	2.44846793737523e-07	JUN/RXRA/PPARG/FOS/RB1/TP53/HIF1A/NR1I2/NR1I3/PPARA/PPARD/E2F1/E2F2	13
CC	GO:1902911	protein kinase complex	9/163	109/19717	3.04068484378838e-07	6.62869295945867e-06	4.6303762182602e-06	CCND1/CDKN1A/RB1/CDK1/CCNB1/INSRR/CHUK/CDK2/IKBKB	9
MF	GO:0004879	nuclear receptor activity	12/163	47/17697	9.78928688129919e-15	2.35921813839311e-12	1.39110918839515e-12	ESR1/PGR/NR3C1/RXRA/AR/PPARG/NR1I2/AHR/NR1I3/PPARA/PPARD/ESR2	12
MF	GO:0003707	steroid hormone receptor activity	12/163	56/17697	9.74209610940774e-14	1.56523010824484e-11	9.2293542089126e-12	ESR1/PGR/NR3C2/NR3C1/RXRA/AR/PPARG/NR1I2/NR1I3/PPARA/PPARD/ESR2	12
MF	GO:1901338	catecholamine binding	7/163	20/17697	3.46353852211326e-10	4.17356391914648e-08	2.46093526571205e-08	DRD1/ADRB2/ADRA2A/SLC6A3/ADRB1/ADRA2C/DRD5	7
MF	GO:0008227	G protein-coupled amine receptor activity	9/163	59/17697	3.23843538177788e-09	2.85377499970365e-07	1.68272384782701e-07	CHRM3/CHRM1/ADRA1A/CHRM2/ADRA1B/ADRB2/ADRA2A/ADRB1/ADRA2C	9
MF	GO:0044389	ubiquitin-like protein ligase binding	17/163	308/17697	3.85992531368166e-09	2.85377499970365e-07	1.68272384782701e-07	HSP90AB1/KCNH2/BCL2/JUN/CASP8/RELA/EGFR/CDKN1A/RB1/TP53/NFKBIA/HIF1A/STAT1/HSPA5/CCNB1/CHEK2/ERBB3	17
MF	GO:0004935	adrenergic receptor activity	6/163	17/17697	6.33570976790423e-09	3.39312456458871e-07	2.00075045302239e-07	ADRA1A/ADRA1B/ADRB2/ADRA2A/ADRB1/ADRA2C	6
MF	GO:0035173	histone kinase activity	6/163	17/17697	6.33570976790423e-09	3.39312456458871e-07	2.00075045302239e-07	PRKCA/CDK1/PRKCB/CCNB1/CDK2/CHEK1	6
MF	GO:0001085	RNA polymerase II transcription factor binding	12/163	155/17697	2.06730745911782e-08	9.96442195294789e-07	5.87550541012433e-07	ESR1/JUN/AR/PPARG/FOS/RB1/TP53/ELK1/NFE2L2/AHR/PPARA/PPARD	12
MF	GO:0020037	heme binding	11/163	135/17697	4.82788914751304e-08	2.11549324463753e-06	1.24739719600815e-06	PTGS1/PTGS2/HMOX1/CYP3A4/CYP1A2/CYP1A1/DUOX2/NOS3/CYP1B1/MPO/NOS2	11
MF	GO:0031625	ubiquitin protein ligase binding	15/163	290/17697	7.84571185204766e-08	3.15136092723914e-06	1.85819491232708e-06	HSP90AB1/KCNH2/BCL2/JUN/CASP8/RELA/EGFR/CDKN1A/RB1/TP53/NFKBIA/HIF1A/HSPA5/CHEK2/ERBB3	15
