ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0035637	multicellular organismal signaling	29/900	204/18670	1.72751824169122e-07	5.75724246014293e-05	4.75703970554129e-05	TNR/NOS1/CAV1/NTRK2/FXYD1/SCN2B/SCN4B/SCN7A/NPR1/SCN1A/S1PR1/ATP1A2/NFASC/CACNG4/CASQ2/P2RX1/CACNB4/NTRK3/KCNMB2/ATP1B2/TRPC1/RYR2/CACNA2D2/FXYD6/GJA5/DSG2/ATP1B1/DSP/KCNK1	29
BP	GO:0072001	renal system development	36/900	293/18670	2.52915722909038e-07	7.90203561763927e-05	6.52921905720439e-05	BMPER/GPC3/TCF21/SLIT2/MME/COL4A3/ALDH1A2/FGF10/TEK/SFRP1/FOXF1/ZBTB16/ITGA8/ANGPT1/NPNT/CYP26B1/WNT2B/SMAD6/FGF2/PECAM1/SOX17/FAT4/FRAS1/KANK2/PDGFB/EPCAM/SIX4/HOXB7/CEP55/KIF26B/OVOL1/SIX2/SOX11/STRA6/CRLF1/GCNT3	36
BP	GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	34/900	273/18670	3.94368479417667e-07	0.000115967531094642	9.58205519030915e-05	CNTN6/CDH19/NTNG1/FAT3/ROBO4/CRB2/CDH5/ROBO3/MDGA1/CLDN5/CADM3/CX3CL1/PCDHGA12/SPARCL1/PTPRD/APOA1/PECAM1/PCDHGB7/CLDN11/ESAM/DSCAML1/SELP/FAT4/CDH23/PCDH10/PCDH12/PTPRM/ITGAL/EPCAM/DSG2/CDH3/IGSF9/CLDN2/CLDN14	34
BP	GO:0050678	regulation of epithelial cell proliferation	42/900	378/18670	4.25742393889402e-07	0.000118238123725173	9.76966756504101e-05	WNT3A/CPB2/VIP/GPC3/CAV1/ALDH1A2/LIMS2/FGF10/TEK/SFRP1/TGM1/SEMA5A/KRT4/PGR/EDNRB/ACVRL1/HOXA5/GATA2/CAV2/APLN/FLT4/WNT7A/MCC/FGF2/EGFL7/KDR/CXCL12/PTN/PTPRM/PDGFB/TGFA/NME1/SFN/MARVELD3/UHRF1/SIX4/MDK/CDH3/XDH/SGPP2/SOX11/MMP12	42
BP	GO:0008217	regulation of blood pressure	26/900	182/18670	6.73932792134978e-07	0.000177315264625408	0.000146510375420369	P2RX2/ADRA1A/NOS1/MME/AVPR2/ADRB2/RAMP2/EDNRB/NPR1/CMA1/ACVRL1/NPFF/CORO2B/EMP2/ATP1A2/CTSG/APLN/P2RX1/ADRA1B/CES1/PDGFB/GJA5/SLC2A5/EDN2/F2RL1/ADM2	26
BP	GO:0001867	complement activation, lectin pathway	7/900	13/18670	7.85731761558329e-07	0.000180074257610386	0.000148790049981187	FCN3/COLEC10/MASP1/MASP2/A2M/FCN1/SERPING1	7
BP	GO:0048568	embryonic organ development	45/900	428/18670	7.88124968679858e-07	0.000180074257610386	0.000148790049981187	WNT3A/TCF21/NDRG4/ALDH1A2/GATA1/EPAS1/TAL1/CRB2/FGF10/TCAP/HOXA4/FOXF1/TBX2/HOXA5/GATA2/ITGA8/TTPA/TMIE/HOXA2/HOXA6/NES/HLX/TBX3/RNF112/SOX18/HEY1/DSCAML1/SOX17/RSPO3/RYR2/KDR/PCDH12/PDGFB/GJA5/SIX4/HOXB7/PHLDA2/OTX1/SIX2/SOX11/E2F8/CTHRC1/STRA6/NKX3-2/COL11A1	45
BP	GO:0030324	lung development	25/900	172/18670	7.92485230531807e-07	0.000180074257610386	0.000148790049981187	GPC3/TCF21/MME/CCBE1/ALDH1A2/EPAS1/FGF10/RSPO2/FOXF1/HHIP/CYP1A2/PGR/HOXA5/TBX4/HEG1/WNT2B/FLT4/SFTPD/PTN/EDN2/SLC7A11/SOX11/STRA6/AGR2/SPDEF	25
BP	GO:0001570	vasculogenesis	16/900	79/18670	9.2181092881616e-07	0.000200353601441391	0.000165546273898152	TMEM100/CAV1/NTRK2/FOXF1/RAMP2/EMP2/TIE1/HEG1/RASIP1/WNT7A/EGFL7/SOX18/HEY1/SOX17/KDR/XDH	16
BP	GO:0006936	muscle contraction	40/900	363/18670	9.89778948154502e-07	0.000206162706742681	0.000170346166340275	P2RX6/P2RX2/ADRA1A/NOS1/DES/CAV1/FXYD1/HSPB6/NMUR1/TNNT3/CAV3/SCN2B/ADRB2/SCN4B/TCAP/ACTN2/TNNC1/SCN7A/EDNRB/SYNM/SCN1A/CALCRL/ATP1A2/CRYAB/NPNT/CASQ2/DOCK4/TMOD1/TNNT2/PDE5A/P2RX1/ADRA1B/RYR2/MYH3/GSTM2/GJA5/DSG2/ATP1B1/EDN2/DSP	40
BP	GO:0001667	ameboidal-type cell migration	47/900	462/18670	1.1492776332438e-06	0.00022232923080323	0.000183704088538102	BMPER/GPC3/SLIT2/CCBE1/SEMA3G/SEMA6A/ANGPT4/CRB2/FGF10/TEK/SEMA5A/EDNRB/ACVRL1/GATA2/EMP2/ANGPT1/TNS1/FLT4/SASH1/AKAP12/MMRN2/WNT7A/MCC/APOA1/FGF2/SEMA6D/PRKCE/SOX18/PECAM1/SEMA3D/CLEC14A/SOX17/RHOJ/HBEGF/KDR/STARD13/PTN/KANK2/PTPRM/PDGFB/RAB25/SEMA4B/MARVELD3/ANLN/S100A2/FERMT1/S100P	47
BP	GO:0050673	epithelial cell proliferation	45/900	434/18670	1.15634326883056e-06	0.00022232923080323	0.000183704088538102	WNT3A/CPB2/BMPER/VIP/GPC3/CAV1/ALDH1A2/LIMS2/FGF10/TEK/SFRP1/TGM1/SEMA5A/KRT4/PGR/EDNRB/ACVRL1/HOXA5/GATA2/CAV2/APLN/FLT4/WNT7A/MCC/APOA1/FGF2/EGFL7/KDR/CXCL12/PTN/PTPRM/PDGFB/TGFA/NME1/SFN/MARVELD3/UHRF1/SIX4/MDK/CDH3/XDH/SGPP2/SOX11/FERMT1/MMP12	45
BP	GO:0030323	respiratory tube development	25/900	176/18670	1.22437467345294e-06	0.000226690703429306	0.000187307844780872	GPC3/TCF21/MME/CCBE1/ALDH1A2/EPAS1/FGF10/RSPO2/FOXF1/HHIP/CYP1A2/PGR/HOXA5/TBX4/HEG1/WNT2B/FLT4/SFTPD/PTN/EDN2/SLC7A11/SOX11/STRA6/AGR2/SPDEF	25
BP	GO:0045926	negative regulation of growth	31/900	249/18670	1.28298102762081e-06	0.000229057934181301	0.000189263817758799	SLC6A4/WNT3A/TNR/FHL1/GPC3/SLIT2/SEMA3G/SEMA6A/CAV3/ADRB2/SLIT3/SFRP1/SEMA5A/DCC/NPR1/ACVRL1/PI16/MEG3/CRYAB/MYOZ1/SEMA6D/SEMA3D/SOX17/MEIS1/WWC2/CYP27B1/SEMA4B/PTK6/SPP1/HNF4A/TMPRSS4	31
BP	GO:0003158	endothelium development	21/900	132/18670	1.35032231262122e-06	0.000232767628992879	0.000192329029209643	TMEM100/SCUBE1/HAPLN2/PDE2A/ACVRL1/S1PR1/CDH5/CLDN5/HEG1/WNT7A/SOX18/PECAM1/HEY1/SOX17/KDR/STARD13/PTN/GJA5/F2RL1/XDH/PROC	21
BP	GO:0001823	mesonephros development	18/900	102/18670	1.6448263844828e-06	0.000259299503666756	0.000214251535020341	BMPER/GPC3/TCF21/SLIT2/FGF10/SFRP1/ZBTB16/NPNT/WNT2B/SMAD6/FGF2/FAT4/EPCAM/SIX4/HOXB7/KIF26B/SIX2/CRLF1	18
BP	GO:0030239	myofibril assembly	15/900	73/18670	1.65845249049856e-06	0.000259299503666756	0.000214251535020341	SYNPO2L/ANKRD1/TNNT3/CAV3/TCAP/ACTN2/MYH10/PGM5/LDB3/CASQ2/TMOD1/TNNT2/MYOZ1/MYH3/SIX4	15
BP	GO:0001655	urogenital system development	37/900	330/18670	1.65984879322589e-06	0.000259299503666756	0.000214251535020341	BMPER/GPC3/TCF21/SLIT2/MME/COL4A3/ALDH1A2/FGF10/TEK/SFRP1/FOXF1/GATA2/ZBTB16/ITGA8/ANGPT1/NPNT/CYP26B1/WNT2B/SMAD6/FGF2/PECAM1/SOX17/FAT4/FRAS1/KANK2/PDGFB/EPCAM/SIX4/HOXB7/CEP55/KIF26B/OVOL1/SIX2/SOX11/STRA6/CRLF1/GCNT3	37
BP	GO:0001822	kidney development	33/900	278/18670	1.72467999681915e-06	0.000261262888002998	0.00021587382161143	BMPER/GPC3/TCF21/SLIT2/MME/COL4A3/ALDH1A2/FGF10/TEK/SFRP1/ZBTB16/ITGA8/ANGPT1/NPNT/CYP26B1/WNT2B/SMAD6/FGF2/PECAM1/FAT4/FRAS1/KANK2/PDGFB/EPCAM/SIX4/HOXB7/KIF26B/OVOL1/SIX2/SOX11/STRA6/CRLF1/GCNT3	33
BP	GO:0045446	endothelial cell differentiation	19/900	114/18670	2.08679899053607e-06	0.0003068208280497	0.000253517004299181	TMEM100/SCUBE1/HAPLN2/PDE2A/ACVRL1/S1PR1/CDH5/CLDN5/HEG1/WNT7A/SOX18/PECAM1/HEY1/SOX17/KDR/PTN/F2RL1/XDH/PROC	19
BP	GO:0060562	epithelial tube morphogenesis	36/900	322/18670	2.44506998773739e-06	0.000342972969599887	0.000283388452997959	WNT3A/SOSTDC1/GPC3/TCF21/SLIT2/NDRG4/CAV3/FGF10/RSPO2/TCAP/SFRP1/FOXF1/TBX2/HHIP/PGR/ACVRL1/HOXA5/NPNT/DLC1/WNT2B/RASIP1/TBX3/FGF2/SOX18/SOX17/RYR2/FAT4/STARD13/SALL4/SIX4/HOXB7/MDK/KIF26B/SIX2/SOX11/CTHRC1	36
BP	GO:0006937	regulation of muscle contraction	24/900	171/18670	2.46989936099139e-06	0.000342972969599887	0.000283388452997959	ADRA1A/NOS1/CAV1/HSPB6/TNNT3/CAV3/ADRB2/TNNC1/CALCRL/ATP1A2/NPNT/CASQ2/DOCK4/TNNT2/PDE5A/P2RX1/ADRA1B/RYR2/GSTM2/GJA5/DSG2/ATP1B1/EDN2/DSP	24
BP	GO:0003044	regulation of systemic arterial blood pressure mediated by a chemical signal	12/900	49/18670	2.58867362064085e-06	0.000349750795394151	0.000288988770622893	ADRA1A/MME/AVPR2/ADRB2/CMA1/CTSG/ADRA1B/CES1/GJA5/SLC2A5/EDN2/F2RL1	12
BP	GO:0003007	heart morphogenesis	31/900	259/18670	2.96739483944092e-06	0.000390368600062241	0.000322550065096016	WNT3A/SYNPO2L/TMEM100/ANKRD1/SLIT2/NDRG4/ALDH1A2/CAV3/TEK/TCAP/SLIT3/FOXF1/TBX2/TNNC1/ACVRL1/S1PR1/CLDN5/DLC1/HEG1/TBX3/SMAD6/TNNT2/SOX18/HEY1/SOX17/RYR2/FAT4/GJA5/DSP/SOX11/COL11A1	31
BP	GO:0060541	respiratory system development	26/900	198/18670	3.38816847707111e-06	0.00042617952939567	0.000352139580199957	GPC3/TCF21/MME/CCBE1/ALDH1A2/EPAS1/FGF10/RSPO2/FOXF1/HHIP/CYP1A2/PGR/HOXA5/TBX4/HEG1/WNT2B/FLT4/SFTPD/PTN/SIX4/EDN2/SLC7A11/SOX11/STRA6/AGR2/SPDEF	26
BP	GO:0000070	mitotic sister chromatid segregation	22/900	151/18670	3.44520507726058e-06	0.00042617952939567	0.000352139580199957	DUSP1/HECW2/NUSAP1/MAD2L1/NCAPG/TTK/NCAPH/KIF14/ZWINT/PLK1/CDCA8/KIF2C/CCNB1/BUB1B/KIF4A/CDC6/AURKB/CDCA5/CDC20/DLGAP5/NUF2/NEK2	22
BP	GO:0060048	cardiac muscle contraction	21/900	140/18670	3.56841916552737e-06	0.00042617952939567	0.000352139580199957	ADRA1A/NOS1/CAV1/TNNT3/CAV3/SCN2B/SCN4B/TCAP/TNNC1/SCN1A/ATP1A2/CASQ2/TNNT2/PDE5A/ADRA1B/RYR2/GSTM2/GJA5/DSG2/ATP1B1/DSP	21
BP	GO:0050918	positive chemotaxis	14/900	68/18670	3.58062417175798e-06	0.00042617952939567	0.000352139580199957	COLEC10/FGF10/CCL16/SEMA5A/S1PR1/ROBO3/ANGPT1/CX3CL1/FGF2/NTRK3/KDR/CXCL12/PDGFB/F2RL1	14
BP	GO:0140014	mitotic nuclear division	31/900	264/18670	4.42436696817905e-06	0.00050883105839049	0.000420432101814949	CAV2/DUSP1/HECW2/PDGFB/NUSAP1/TGFA/MAD2L1/NCAPG/TTK/NCAPH/KIF14/ZWINT/PLK1/CDCA8/KIF2C/ANLN/TPX2/CCNB1/BUB1B/KIF4A/CDC6/AURKB/BIRC5/CDCA5/CDC20/UBE2C/DLGAP5/CDC25C/MYBL2/NUF2/NEK2	31
BP	GO:0000819	sister chromatid segregation	25/900	189/18670	4.55785400187441e-06	0.00050883105839049	0.000420432101814949	DUSP1/MAPK15/HECW2/NUSAP1/MAD2L1/NCAPG/TTK/NCAPH/KIF14/ZWINT/PLK1/CDCA8/KIF2C/CCNB1/BUB1B/KIF4A/CDC6/AURKB/TOP2A/CDCA5/CDC20/ESCO2/DLGAP5/NUF2/NEK2	25
BP	GO:0032102	negative regulation of response to external stimulus	41/900	400/18670	4.58039560463533e-06	0.00050883105839049	0.000420432101814949	GPR17/WNT3A/CPB2/TNR/SLIT2/SEMA3G/SEMA6A/TEK/FOXF1/SEMA5A/NPFF/CLEC12B/CALCRL/AJAP1/CDH5/THBD/VTN/CX3CL1/KLKB1/SIGLEC11/DUSP1/PTGIS/APOA1/FGF2/MYOZ1/MEFV/SEMA6D/A2M/SEMA3D/SERPING1/KANK2/PDGFB/FNDC4/SEMA4B/MDK/SMPDL3B/PBK/PROC/TSPAN8/MMP12/SPP1	41
BP	GO:0090287	regulation of cellular response to growth factor stimulus	33/900	292/18670	5.05186962984671e-06	0.00054900644086095	0.000453627835869988	BMPER/SOSTDC1/GPC3/SLIT2/CAV1/CCBE1/SEMA6A/CAV3/CRB2/FGF10/LTBP4/SFRP1/CHRDL1/HHIP/ACVRL1/CDH5/VWC2/ITGA8/CAV2/NPNT/VTN/ZNF423/APLN/SMAD6/MMRN2/RNF165/FGF2/NTRK3/VEPH1/CREB3L1/XDH/SOX11/FERMT1	33
BP	GO:0070252	actin-mediated cell contraction	19/900	121/18670	5.18999910093761e-06	0.000552017138416747	0.000456115486496734	DES/CAV1/TNNT3/CAV3/SCN2B/SCN4B/TCAP/ACTN2/TNNC1/SCN1A/EMP2/ATP1A2/TMOD1/TNNT2/RYR2/MYH3/GJA5/DSG2/DSP	19
BP	GO:0045214	sarcomere organization	12/900	53/18670	6.26538873393191e-06	0.000639197515937258	0.000528150062125646	SYNPO2L/ANKRD1/TNNT3/CAV3/TCAP/ACTN2/LDB3/CASQ2/TNNT2/MYOZ1/MYH3/SIX4	12
BP	GO:1902099	regulation of metaphase/anaphase transition of cell cycle	12/900	53/18670	6.26538873393191e-06	0.000639197515937258	0.000528150062125646	DUSP1/MAPK15/HECW2/MAD2L1/TTK/PLK1/CCNB1/BUB1B/CDC6/AURKB/CDC20/DLGAP5	12
BP	GO:1902305	regulation of sodium ion transmembrane transport	13/900	62/18670	6.4254196117e-06	0.000640873732176688	0.000529535070184842	NOS1/FXYD1/CAV3/SCN2B/SCN4B/ATP1A2/PRKCE/ATP1B2/HECW2/FXYD6/WNK2/ATP1B1/TESC	13
BP	GO:0048565	digestive tract development	20/900	134/18670	6.53821971214465e-06	0.000640873732176688	0.000529535070184842	TCF21/ALDH1A2/FGF10/SFRP1/FOXF1/TBX2/EDNRB/HOXA5/HLX/SOX17/FAT4/OTC/PTK6/CCNB1/SIX2/SOX11/STRA6/AGR2/NKX3-2/SPDEF	20
BP	GO:0048846	axon extension involved in axon guidance	10/900	37/18670	6.83695840421772e-06	0.000644867076654422	0.000532834652992062	WNT3A/SLIT2/SEMA3G/SEMA6A/SLIT3/SEMA5A/SEMA6D/SEMA3D/CXCL12/SEMA4B	10
BP	GO:1902284	neuron projection extension involved in neuron projection guidance	10/900	37/18670	6.83695840421772e-06	0.000644867076654422	0.000532834652992062	WNT3A/SLIT2/SEMA3G/SEMA6A/SLIT3/SEMA5A/SEMA6D/SEMA3D/CXCL12/SEMA4B	10
BP	GO:0055123	digestive system development	21/900	146/18670	7.01476516410305e-06	0.00064938538991391	0.000536568002026128	TCF21/ALDH1A2/FGF10/SFRP1/FOXF1/TBX2/EDNRB/HOXA5/HLX/SOX17/FAT4/OTC/PTK6/CCNB1/SIX2/SOX11/STRA6/AGR2/NKX3-2/SPDEF/BARX1	21
BP	GO:0048640	negative regulation of developmental growth	18/900	113/18670	7.43461585205674e-06	0.000661343757323066	0.000546448848450893	SLC6A4/WNT3A/TNR/SEMA3G/SEMA6A/CAV3/ADRB2/SFRP1/SEMA5A/DCC/PI16/MYOZ1/SEMA6D/SEMA3D/MEIS1/WWC2/SEMA4B/SPP1	18
BP	GO:0060537	muscle tissue development	41/900	408/18670	7.44250459371362e-06	0.000661343757323066	0.000546448848450893	WNT3A/P2RX2/SGCG/ADRA1A/ANKRD1/TCF21/CAV1/NDRG4/ALDH1A2/CAV3/TCAP/ACTN2/TBX2/TNNC1/MYH10/PGM5/HLF/PI16/S1PR1/ITGA8/CAV2/CYP26B1/HEG1/HLX/TBX3/TNNT2/FGF2/MYOZ1/BVES/SOX17/MEIS1/RYR2/GJA5/DSG2/CCNB1/SIX4/DSP/SOX11/STRA6/COL11A1/PITX1	41
BP	GO:0071695	anatomical structure maturation	28/900	232/18670	7.54082699888273e-06	0.000661343757323066	0.000546448848450893	MYOC/ALDH1A2/EPAS1/TAL1/PGR/EDNRB/PTH1R/ACVRL1/LGI4/HOXA5/GATA2/S1PR1/CDH5/NFASC/PHOSPHO1/CX3CL1/RECK/GLDN/CX3CR1/LHX6/SOX18/NR4A2/FAT4/KIF14/CCNB1/CDH3/FERMT1/SPINK1	28
BP	GO:0003073	regulation of systemic arterial blood pressure	16/900	93/18670	8.64919429930152e-06	0.000745471074176005	0.00061596077006278	P2RX2/ADRA1A/MME/AVPR2/ADRB2/CMA1/CORO2B/EMP2/CTSG/ADRA1B/CES1/PDGFB/GJA5/SLC2A5/EDN2/F2RL1	16
BP	GO:0055002	striated muscle cell development	23/900	173/18670	9.97287929825662e-06	0.000844990230711608	0.000698190515010865	SYNPO2L/P2RX2/ADRA1A/ANKRD1/TNNT3/CAV3/TCAP/ACTN2/MYH10/PGM5/PI16/LDB3/CAV2/CASQ2/TBX3/TMOD1/TNNT2/MYOZ1/BVES/CACNA2D2/MYH3/CCNB1/SIX4	23
BP	GO:0051480	regulation of cytosolic calcium ion concentration	37/900	357/18670	1.03269585764935e-05	0.000860407765398184	0.000710929569371238	GPR17/P2RX2/ADRA1A/GRIA1/NOS1/CALB2/CAV1/RAMP3/CAV3/MCOLN3/EDNRB/PTH1R/NPFF/GATA2/PTGDR/S1PR1/TRPC3/ATP1A2/CD36/CASQ2/CX3CL1/PTGFR/CX3CR1/P2RX1/ADRA1B/FGF2/PRKCE/RIC3/TRPC1/RYR2/PTGIR/JPH4/CDH23/GSTM2/EDN2/F2RL1/FAM155B	37
BP	GO:0003012	muscle system process	45/900	472/18670	1.06125113322175e-05	0.000869704002455005	0.000718610775972761	MYOC/P2RX6/P2RX2/ADRA1A/NOS1/DES/CAV1/FXYD1/HSPB6/NMUR1/TNNT3/CAV3/SCN2B/ADRB2/SCN4B/TCAP/ACTN2/TNNC1/SCN7A/EDNRB/SYNM/SCN1A/CALCRL/PI16/TRPC3/ATP1A2/CRYAB/NPNT/CASQ2/DOCK4/TMOD1/TNNT2/PDE5A/P2RX1/ADRA1B/MYOZ1/RYR2/LMCD1/MYH3/GSTM2/GJA5/DSG2/ATP1B1/EDN2/DSP	45
