id	GSM3325819	GSM3325820	GSM3325823	GSM3325825	GSM3325827	GSM3325829	GSM3325818	GSM3325821	GSM3325822	GSM3325824	GSM3325826	GSM3325828
IGSF10	10.2267714375	10.2659630375	9.093945	10.71400674725	10.4155032458333	10.0268044194167	4.40089568583333	7.175175525	7.55383722083333	5.851623075	7.24715919166667	5.64745950166667
CXorf31	6.6871006875	7.86954131666667	7.66816592333333	7.80761504333333	6.98192265833333	6.58260338333333	3.52379041875	3.66660552083333	3.867264625	3.49023143333333	3.4636534125	2.78007404416667
LINC00551	8.49757209	10.769069475	9.74225618358333	8.449980345	9.72753374416667	9.52770761083333	1.83274905833333	5.54698795	7.60102346666667	6.46337097666667	7.31818832375	6.77712021916667
EDNRB	10.3616288916667	11.8022907496667	11.2131908708333	11.2464474055833	12.032056875	10.9628426416667	6.80964032358333	6.73861853666667	8.81819696833333	7.88377294666667	7.91552993916667	8.33392521416667
CADM3-AS1	8.1317605875	7.29241178333333	6.17973703333333	6.80332268333333	6.79018277	7.40999846083333	2.21355756416667	3.23171308333333	3.92213062458333	2.5772616025	6.69122156458333	2.88120256666667
SERTM1	6.54960289416667	8.03364936458333	6.8495519575	7.29241178333333	7.76678184775	6.54319473541667	1.91103223333333	6.73139104833333	2.58422171941667	3.20996331666667	6.05993819166667	1.7383533275
BEX1	7.43802866975	8.52811812225	6.91474796666667	6.65291787583333	7.86389896333333	7.67809592333333	3.39917174583333	3.58101139166667	4.20171439583333	4.76548111666667	5.08402127416667	3.42028435
PKHD1L1	8.52096433833333	7.83816161225	7.33748443	7.81602969191667	7.90051081225	6.63662880416667	5.1948316125	2.96045204166667	6.12185927	2.80861806666667	4.59401126108333	4.06472309625
LOC400568	7.61437324416667	8.45412479275	8.11386925916667	8.59093429166667	8.39918634583333	7.58813657225	6.01089106666667	3.80662214275	4.72523417333333	2.97923660833333	6.99215599166667	4.00240615166667
CLDN18	12.3215042433333	12.1445753360833	12.1369395416667	11.4712283708333	11.8281083225	11.4624539	7.0735602125	10.2144020225	8.188591005	8.619060665	8.83365937108333	8.22454263708333
GDF15	6.79186842	7.22094631	4.57300452666667	5.76369928891667	6.62393801083333	8.44561084833333	7.91692880691667	10.6529581233333	9.9212265475	9.35897586833333	9.42769180416667	8.96260101666667
C10orf91	3.4851225475	4.06037220208333	3.36892411666667	4.58521273083333	3.60778099	3.53442753166667	7.75562177583333	4.98959535625	7.10208118441667	6.2828701875	5.79827599166667	7.57737177666667
HCN3	5.66260523333333	4.03350374166667	4.9414449	2.79124468333333	6.05252840416667	3.85178560416667	7.87875477916667	4.93551260416667	7.596526225	8.57525503125	7.63159067916667	7.77912835558333
FAM111B	5.51343009558333	5.4766644975	4.77081165941667	2.4337983625	4.4389164375	6.87582391725	8.05232948166667	6.73368792916667	7.63723593	8.94947111775	7.14472385691667	9.0649206195
GJB2	7.25774277108333	5.25261369166667	4.21943182333333	7.11045739166667	5.20973059958333	3.09527707916667	9.78251989833333	8.00046514833333	7.75401379725	8.41522846416667	8.13019973608333	8.44100866641667
RPRM	5.83263597916667	3.9720808775	4.38789986916667	4.97718740833333	4.865009305	1.91103223333333	7.49964860416667	7.63592795166667	9.26472971941667	6.60286646041667	8.7060042625	4.802508375
PVRL4	4.95685980666667	6.60286646041667	7.550405255	4.59611394166667	6.09292623916667	9.09771305	9.40888825	9.7363276125	9.71874314141667	10.6951028958333	8.69947373833333	9.39528997108333
CP	8.8640721475	7.65936865208333	6.91052113083333	8.31329851375	7.22931042083333	9.91338081208333	10.2011076108333	12.4568289791667	10.2321475125	12.4070694791667	9.65485622308333	12.7341787858333
MUC3B	6.32084056666667	6.2099780275	6.9854850275	5.05859296416667	7.382848396	8.197960985	7.96729396	9.17337479116667	9.556299799	11.5929258083333	10.36043525975	10.77081142775
LOC101929486	1.250725775	3.77978720558333	1.3504145	4.96508849583333	2.425318645	1.07517040583333	4.6498840375	6.58145513925	6.60153932916667	4.84778644583333	5.87533878083333	5.74143719166667
FLJ13744	4.44761275833333	3.36986136941667	2.88003524166667	2.8619764625	4.33983239191667	3.47594405	7.39237029975	4.990000325	9.160727475	6.6905791525	6.28643260208333	6.416338645
TOX3	7.12929376583333	7.29223398	5.4535426825	6.3032847225	6.6859171625	7.45982792358333	9.78888141	10.6951028958333	7.88349037	10.980610875	10.2424286480833	10.6290471166667
KRT6A	1.04926865166667	1.2461490875	1.84992340416667	0.9432334975	3.77195915	1.50010925833333	6.7477884525	3.24045832083333	8.19696466891667	3.60288896916667	4.19016361833333	5.57636927775
MSMB	5.31047677083333	2.3188149625	4.27056247358333	3.90133065666667	2.96663602916667	5.578170685	7.5095568625	7.15040929116667	9.2452192475	9.09484889166667	5.52919265416667	7.27937762083333
LINC01021	4.38308837083333	2.56059448333333	0.292733796666667	1.45238518333333	0.0278696504166667	4.22853630833333	5.74143719166667	5.2919436875	6.28213648083333	5.25504549583333	5.2081466025	7.40974165833333
TMPRSS4	8.15328845	5.31178408	2.48408831666667	6.3645224525	4.83222413083333	8.98885644333333	10.4612623294167	10.0589189083333	10.4368363166667	10.4024882383333	7.95569365416667	10.0189098083333
MMP1	6.76379224166667	5.98912077458333	4.47551179833333	1.50010925833333	5.36866488333333	5.945240635	10.3075431458333	11.25352095	7.21967195691667	9.2837575115	7.26039153691667	7.97909578333333
MMP7	6.96566420166667	3.09701585416667	6.805228375	3.85917199583333	5.37901854166667	3.663908935	8.86433730416667	10.04533180025	7.98134272691667	8.62742686	9.2832412975	9.02702731141667
C12orf74	3.14668888166667	2.27439840416667	2.51270725833333	2.27180393333333	0.461881556666667	2.36323582416667	5.4703514375	7.84964717058333	5.41009004583333	8.25263112083333	7.32792188166667	6.6251894275
SPINK1	7.62697714941667	5.7421195875	6.02074538916667	5.76148253916667	7.40816433225	6.50510097225	11.21040858	13.1444367916667	10.4342765233333	13.7020031625	9.156340734	9.90802716
